ID_IEK,Цена,Наименование,Марка,Код изделия,Завод-изготовитель,Единица измерения,Масса_Текст,Высота,Ширина,Глубина,Примечание,Источник_данных,IP,Класс,"~Un,B","Iн,A","Iр,A","tоткл,с"
#101020101001&#101020101002&#101020101003&#101020101004&#101020101005&#101020101006&#101020101007&#101020101008&#101020101009&#101020101010&#101020101011&#101020101012&#101020101013&#101020101014&#101020101015&#101020101016,,"Автоматический выключатель ВА47-29 1Р 4,5кА х-ка В ИЭК",ВА47-29 1Р-В,MVA20-1-001-B&MVA20-1-002-B&MVA20-1-003-B&MVA20-1-004-B&MVA20-1-005-B&MVA20-1-006-B&MVA20-1-008-B&MVA20-1-010-B&MVA20-1-013-B&MVA20-1-016-B&MVA20-1-020-B&MVA20-1-025-B&MVA20-1-032-B&MVA20-1-040-B&MVA20-1-050-B&MVA20-1-063-B,IEK,шт,0,84,18,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-001-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-002-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-003-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-004-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-005-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-006-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-008-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-010-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-013-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-016-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-020-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-025-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-032-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-040-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-050-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-063-B&utm_source=price,20,Автомат,230/400_1P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020101017&#101020101018&#101020101019&#101020101020&#101020101021&#101020101022&#101020101023&#101020101024&#101020101025&#101020101026&#101020101027&#101020101028&#101020101029&#101020101030&#101020101031&#101020101032,,"Автоматический выключатель ВА47-29 2Р 4,5кА х-ка В ИЭК",ВА47-29 2Р-В,MVA20-2-001-B&MVA20-2-002-B&MVA20-2-003-B&MVA20-2-004-B&MVA20-2-005-B&MVA20-2-006-B&MVA20-2-008-B&MVA20-2-010-B&MVA20-2-013-B&MVA20-2-016-B&MVA20-2-020-B&MVA20-2-025-B&MVA20-2-032-B&MVA20-2-040-B&MVA20-2-050-B&MVA20-2-063-B,IEK,шт,0,84,36,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-001-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-002-B&utm_source=pricee&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-003-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-004-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-005-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-006-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-008-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-010-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-013-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-016-B&utm_source=pricee&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-020-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-025-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-032-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-040-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-050-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-063-B&utm_source=price,20,Автомат,400_2P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020101033&#101020101034&#101020101035&#101020101036&#101020101037&#101020101038&#101020101039&#101020101040&#101020101041&#101020101042&#101020101043&#101020101044&#101020101045&#101020101046&#101020101047&#101020101048,,"Автоматический выключатель ВА47-29 3Р 4,5кА х-ка В ИЭК",ВА47-29 3Р-В,MVA20-3-001-B&MVA20-3-002-B&MVA20-3-003-B&MVA20-3-004-B&MVA20-3-005-B&MVA20-3-006-B&MVA20-3-008-B&MVA20-3-010-B&MVA20-3-013-B&MVA20-3-016-B&MVA20-3-020-B&MVA20-3-025-B&MVA20-3-032-B&MVA20-3-040-B&MVA20-3-050-B&MVA20-3-063-B,IEK,шт,0,84,53,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-001-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-002-B&utm_source=pricee&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-003-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-004-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-005-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-006-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-008-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-010-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-013-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-016-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-020-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-025-B&utm_source=pricee&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-032-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-040-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-050-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-063-B&utm_source=price,20,Автомат,400_3P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020101049&#101020101050&#101020101051&#101020101052&#101020101053&#101020101054&#101020101055&#101020101056&#101020101057&#101020101058&#101020101059&#101020101060&#101020101061&#101020101062,,"Автоматический выключатель ВА47-29 4Р 4,5кА х-ка В ИЭК",ВА47-29 4Р-В,MVA20-4-001-B&MVA20-4-002-B&MVA20-4-003-B&MVA20-4-004-B&MVA20-4-005-B&MVA20-4-006-B&MVA20-4-010-B&MVA20-4-016-B&MVA20-4-020-B&MVA20-4-025-B&MVA20-4-032-B&MVA20-4-040-B&MVA20-4-050-B&MVA20-4-063-B,IEK,шт,0,84,71,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-001-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-002-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-003-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-004-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-005-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-006-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-010-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-016-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-020-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-025-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-032-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-040-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-050-B&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-063-B&utm_source=price,20,Автомат,400_4P,63,1&2&3&4&5&6&10&13&16&20&25&32&40&50&63,"0,1"
#101020102001&#101020102002&#101020102003&#101020102004&#101020102005&#101020102006&#101020102007&#101020102008&#101020102009&#101020102010&#101020102011&#101020102012&#101020102013&#101020102014&#101020102015&#101020102016&#101020102017&#101020102018&#101020102019,,"Автоматический выключатель ВА47-29 1Р 4,5кА х-ка С ИЭК",ВА47-29 1Р-С,MVA20-1-001-C&MVA20-1-002-C&MVA20-1-003-C&MVA20-1-004-C&MVA20-1-005-C&MVA20-1-006-C&MVA20-1-008-C&MVA20-1-010-C&MVA20-1-013-C&MVA20-1-016-C&MVA20-1-020-C&MVA20-1-025-C&MVA20-1-032-C&MVA20-1-040-C&MVA20-1-050-C&MVA20-1-063-C&MVA20-1-D05-C&MVA20-1-D16-C&MVA20-1-D25-C,IEK,шт,0,84,18,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-001-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-002-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-003-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-004-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-005-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-006-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-008-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-010-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-013-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-016-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-020-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-025-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-032-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-040-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-050-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-063-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-D05-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-D16-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-D25-C&utm_source=price,20,Автомат,230/400_1P,63,"1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63&0,5&1,6&2,5","0,1"
#101020102020&#101020102021&#101020102022&#101020102023&#101020102024&#101020102025&#101020102026&#101020102027&#101020102028&#101020102029&#101020102030&#101020102031&#101020102032&#101020102033&#101020102034&#101020102035,,"Автоматический выключатель ВА47-29 2Р 4,5кА х-ка С ИЭК",ВА47-29 2Р-С,MVA20-2-001-C&MVA20-2-002-C&MVA20-2-003-C&MVA20-2-004-C&MVA20-2-005-C&MVA20-2-006-C&MVA20-2-008-C&MVA20-2-010-C&MVA20-2-013-C&MVA20-2-016-C&MVA20-2-020-C&MVA20-2-025-C&MVA20-2-032-C&MVA20-2-040-C&MVA20-2-050-C&MVA20-2-063-C,IEK,шт,0,84,36,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-001-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-002-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-003-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-004-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-005-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-006-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-008-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-010-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-013-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-016-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-020-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-025-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-032-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-040-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-050-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-063-C&utm_source=price,20,Автомат,400_2P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020102036&#101020102037&#101020102038&#101020102039&#101020102040&#101020102041&#101020102042&#101020102043&#101020102044&#101020102045&#101020102046&#101020102047&#101020102048&#101020102049&#101020102050&#101020102051,,"Автоматический выключатель ВА47-29 3Р 4,5кА х-ка С ИЭК",ВА47-29 3Р-С,MVA20-3-001-C&MVA20-3-002-C&MVA20-3-003-C&MVA20-3-004-C&MVA20-3-005-C&MVA20-3-006-C&MVA20-3-008-C&MVA20-3-010-C&MVA20-3-013-C&MVA20-3-016-C&MVA20-3-020-C&MVA20-3-025-C&MVA20-3-032-C&MVA20-3-040-C&MVA20-3-050-C&MVA20-3-063-C,IEK,шт,0,84,53,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-001-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-002-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-003-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-004-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-005-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-006-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-008-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-010-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-013-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-016-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-020-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-025-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-032-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-040-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-050-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-063-C&utm_source=price,20,Автомат,400_3P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020102052&#101020102053&#101020102054&#101020102055&#101020102056&#101020102057&#101020102058&#101020102059&#101020102060&#101020102061&#101020102062&#101020102063&#101020102064&#101020102065&#101020102066&#101020102067,,"Автоматический выключатель ВА47-29 4Р 4,5кА х-ка С ИЭК",ВА47-29 4Р-С,MVA20-4-001-C&MVA20-4-002-C&MVA20-4-003-C&MVA20-4-004-C&MVA20-4-005-C&MVA20-4-006-C&MVA20-4-008-C&MVA20-4-010-C&MVA20-4-013-C&MVA20-4-016-C&MVA20-4-020-C&MVA20-4-025-C&MVA20-4-032-C&MVA20-4-040-C&MVA20-4-050-C&MVA20-4-063-C,IEK,шт,0,84,71,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-001-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-002-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-003-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-004-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-005-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-006-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-008-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-010-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-013-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-016-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-020-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-025-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-032-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-040-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-050-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-063-C&utm_source=price,20,Автомат,400_4P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020103001&#101020103002&#101020103003&#101020103004&#101020103005&#101020103006&#101020103007&#101020103008&#101020103009&#101020103010&#101020103011&#101020103012&#101020103013&#101020103014&#101020103015&#101020103016,,"Автоматический выключатель ВА47-29 1Р 4,5кА х-ка D ИЭК",ВА47-29 1Р-D,MVA20-1-001-D&MVA20-1-002-D&MVA20-1-003-D&MVA20-1-004-D&MVA20-1-005-D&MVA20-1-006-D&MVA20-1-008-D&MVA20-1-010-D&MVA20-1-013-D&MVA20-1-016-D&MVA20-1-020-D&MVA20-1-025-D&MVA20-1-032-D&MVA20-1-040-D&MVA20-1-050-D&MVA20-1-063-D,IEK,шт,0,84,18,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-001-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-002-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-003-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-004-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-005-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-006-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-008-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-010-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-013-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-016-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-020-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-025-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-032-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-040-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-050-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-1-063-D&utm_source=price,20,Автомат,230/400_1P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020103017&#101020103018&#101020103019&#101020103020&#101020103021&#101020103022&#101020103023&#101020103024&#101020103025&#101020103026&#101020103027&#101020103028&#101020103029&#101020103030&#101020103031&#101020103032,,"Автоматический выключатель ВА47-29 2Р 4,5кА х-ка D ИЭК",ВА47-29 2Р-D,MVA20-2-001-D&MVA20-2-002-D&MVA20-2-003-D&MVA20-2-004-D&MVA20-2-005-D&MVA20-2-006-D&MVA20-2-008-D&MVA20-2-010-D&MVA20-2-013-D&MVA20-2-016-D&MVA20-2-020-D&MVA20-2-025-D&MVA20-2-032-D&MVA20-2-040-D&MVA20-2-050-D&MVA20-2-063-D,IEK,шт,0,84,36,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-001-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-002-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-003-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-004-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-005-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-006-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-008-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-010-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-013-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-016-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-020-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-025-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-032-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-040-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-050-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-2-063-D&utm_source=price,20,Автомат,400_2P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020103033&#101020103034&#101020103035&#101020103036&#101020103037&#101020103038&#101020103039&#101020103040&#101020103041&#101020103042&#101020103043&#101020103044&#101020103045&#101020103046&#101020103047&#101020103048,,"Автоматический выключатель ВА47-29 3Р 4,5кА х-ка D ИЭК",ВА47-29 3Р-D,MVA20-3-001-D&MVA20-3-002-D&MVA20-3-003-D&MVA20-3-004-D&MVA20-3-005-D&MVA20-3-006-D&MVA20-3-008-D&MVA20-3-010-D&MVA20-3-013-D&MVA20-3-016-D&MVA20-3-020-D&MVA20-3-025-D&MVA20-3-032-D&MVA20-3-040-D&MVA20-3-050-D&MVA20-3-063-D,IEK,шт,0,84,53,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-001-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-002-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-003-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-004-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-005-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-006-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-008-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-010-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-013-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-016-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-020-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-025-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-032-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-040-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-050-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-3-063-D&utm_source=price,20,Автомат,400_3P,63,1&2&3&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
#101020103049&#101020103050&#101020103051&#101020103052&#101020103053&#101020103054&#101020103055&#101020103056&#101020103057&#101020103058&#101020103059&#101020103060&#101020103061&#101020103062&#101020103063,,"Автоматический выключатель ВА47-29 4Р 4,5кА х-ка D ИЭК",ВА47-29 4Р-D,MVA20-4-001-D&MVA20-4-002-D&MVA20-4-004-D&MVA20-4-005-D&MVA20-4-006-D&MVA20-4-008-D&MVA20-4-010-D&MVA20-4-013-D&MVA20-4-016-D&MVA20-4-020-D&MVA20-4-025-D&MVA20-4-032-D&MVA20-4-040-D&MVA20-4-050-D&MVA20-4-063-D,IEK,шт,0,84,71,74,,https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-001-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-002-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-004-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-005-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-006-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-008-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-010-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-013-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-016-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-020-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-025-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-032-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-040-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-050-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA20-4-063-D&utm_source=price,20,Автомат,400_4P,63,1&2&4&5&6&8&10&13&16&20&25&32&40&50&63,"0,1"
